CustomerID,FirstName,LastName,Gender,DateOfBirth,Email,PhoneNumber,Address,City,State,PostalCode,Country,LoyaltyProgramID
1,Jennifer,Lambert,F,1973-01-10,mbutler@example.net,(299)951-7397x00409,0445 Flores Dam Suite 869 Angelaville  NM 64269,Port Ryanmouth,Oklahoma,42380,United Arab Emirates,4
2,Bradley,Smith,Others,1974-12-24,julian39@example.org,001-531-807-3978,45365 Richard Highway East Patricia  WY 43216,South Anthony,Oregon,51287,Nauru,3
3,Michael,Scott,Others,2007-10-22,lcoleman@example.com,486.714.2063,PSC 2611  Box 4010 APO AP 77799,New Dennisland,Missouri,41221,Bermuda,1
4,Dana,Taylor,M,1970-08-13,skelly@example.com,001-455-856-0341,822 Foster Turnpike Suite 264 Elizabethside  ID 97250,Rogersborough,Rhode Island,71880,Jordan,5
5,Hunter,Martin,Not Specified,1984-03-09,smithselena@example.org,432.214.2208x967,728 Jose Square Suite 258 Saraland  ND 85499,East Timothyfort,Idaho,63381,Italy,5
6,Caleb,Williams,Not Specified,1969-11-27,jenningsjennifer@example.org,765.977.9413,USCGC Fox FPO AE 42628,South Marcuston,Iowa,03974,Rwanda,1
7,Brandi,Richardson,Others,1980-04-25,sherri01@example.com,811-912-6351,346 Nichols Crescent Apt. 325 Stricklandshire  RI 15089,East Matthew,Alabama,75353,Andorra,2
8,Patrick,Hines,M,1978-04-12,spencerisabella@example.net,365.732.3262,620 Oconnor Circles South Charlesborough  SD 35041,Port Megan,Massachusetts,23891,Sri Lanka,2
9,Teresa,Miller,Others,1970-11-08,igardner@example.org,(428)976-0295,83315 Robert Centers New Amyshire  PR 82955,Matthewborough,Mississippi,02024,Benin,2
10,Lee,Clark,M,1975-02-05,karen39@example.org,613.490.4955x80465,185 Sanders Orchard Suite 773 East Philipchester  CO 65093,East Michelletown,Wyoming,73177,Saudi Arabia,3
11,Angela,Hernandez,M,1992-11-12,christopher78@example.org,5965705406,866 Ryan Tunnel Port Jillianshire  PW 69166,Port Emilyside,Utah,46499,Chile,5
12,David,Carney,M,1980-11-12,david09@example.org,001-938-423-2240,USCGC Espinoza FPO AA 33219,South Eric,Montana,40052,Kazakhstan,1
13,Joann,Bryant,F,1959-08-26,uscott@example.org,364-324-5215,3744 Sellers Harbor Suite 304 Reyesshire  PW 58527,South Bobby,Mississippi,69378,Gambia,1
14,Jose,Schultz,M,1969-12-08,cynthia66@example.net,+1-404-271-1734x66927,593 Gabriela Course Apt. 156 South Adam  MN 98677,Francoborough,Kansas,32670,Ukraine,1
15,Makayla,Joseph,F,1995-10-06,marc23@example.org,643-989-9965,1586 Jones Cliff Jennaport  GU 50172,Turnerside,Idaho,68050,Eritrea,1
16,Madison,Porter,Not Specified,1970-09-11,gilbert68@example.org,968.484.1391,380 Martinez Summit Suite 551 Jamestown  PA 14579,New Sarahchester,Tennessee,66338,Mongolia,5
17,Vickie,Thompson,M,1967-09-04,williamthornton@example.org,731.657.9076x66433,5460 Cohen Camp Suite 599 East Nicholas  AR 18095,East Staceyton,Massachusetts,05586,Canada,5
18,Daniel,Williams,Not Specified,1969-06-17,fordjessica@example.com,001-831-522-6498,77839 King Courts Nataliefurt  NY 87814,Rodriguezhaven,Colorado,24315,Greenland,2
19,Patrick,Diaz,Others,1979-06-01,lgregory@example.org,618.672.8254,0618 Tracy Ville Apt. 643 Garciashire  VA 18722,Mollyborough,Iowa,49081,Equatorial Guinea,3
20,Andrew,Hernandez,Not Specified,1962-01-24,susan56@example.net,(952)950-3024x92178,10785 Derek Green East Joycebury  MD 00966,New Brianaport,Minnesota,32289,Jamaica,4
21,Billy,Martin,Not Specified,2002-06-13,marymoore@example.net,(804)620-0771,4962 Michael Landing Apt. 427 West Micheleshire  WV 05950,Masonport,Florida,42246,Mayotte,2
22,Tyrone,Howard,Others,1975-08-08,james10@example.com,001-833-445-0779,0247 Smith Passage Port Monica  NC 79283,Robertsonton,North Carolina,78123,Congo,4
23,Susan,Alvarado,M,1983-09-24,powersdaniel@example.net,605.701.3239,04884 Gould Hollow Suite 728 Smallborough  KY 92508,Weaverchester,Wyoming,17131,Australia,5
24,William,Pittman,Others,1970-05-18,omarlutz@example.com,001-990-949-4859x54158,0004 Cantu Lights North Kyle  FM 58605,Marshfurt,Kentucky,67259,Ecuador,2
25,Misty,Russell,Others,1992-09-22,nrogers@example.com,7307222839,USNV Floyd FPO AP 06587,Torresport,Minnesota,63487,United States Minor Outlying Islands,1
26,Jessica,Sanders,Others,1998-03-23,karenvincent@example.org,7933215811,9767 Donna Ville Farrellbury  AK 89635,Stokeston,North Carolina,43654,Philippines,5
27,Megan,Dean,F,1962-08-09,thernandez@example.com,683.794.9181,258 Miller Forks Apt. 553 West Phillip  KY 28444,Samanthamouth,Tennessee,73939,Japan,5
28,Matthew,Cox,Others,1960-03-13,ntucker@example.net,8158015986,14050 Rodriguez Point Apt. 134 Melissaport  VA 66827,West Glennfort,Connecticut,34658,North Macedonia,1
29,Alex,Oconnor,F,1995-06-14,vthompson@example.org,203-730-4571,8543 Johnson Orchard Apt. 540 Port Michaelhaven  MS 73616,South Michelleview,Illinois,73502,Oman,2
30,Judy,Bernard,M,1988-04-18,kylecastillo@example.org,883.221.4569x7609,9492 Sara Gardens Jacksonhaven  TX 82233,Brownmouth,South Dakota,21581,French Polynesia,3
31,Richard,Mccarthy,M,1976-01-15,jonathan94@example.net,+1-798-635-9332,395 Rodriguez Fort Apt. 352 Michaelville  NC 37737,Marissafurt,Indiana,68215,Tokelau,1
32,Donna,Villegas,Not Specified,1982-03-21,ricearthur@example.com,+1-945-553-6455x862,757 Mary Locks Suite 755 Fuentesland  SD 94501,Lindaland,Mississippi,73232,Luxembourg,5
33,Sandra,Allen,Others,1979-01-12,zcook@example.com,(393)253-9001x91766,2270 Long Lodge Port Davidmouth  OH 14850,Mcbrideberg,Wyoming,68576,Indonesia,3
34,Kelly,Hernandez,Not Specified,1976-02-23,thompsonmary@example.net,(312)843-0832x92909,600 Fisher Harbor Lake Benjaminbury  WY 86475,Bobbyburgh,South Carolina,62859,Thailand,5
35,James,Clark,M,1961-04-24,drios@example.net,001-681-726-4168x408,PSC 1352  Box 1573 APO AA 79189,Lake Charlenestad,Massachusetts,59464,Timor-Leste,1
36,Spencer,Rosario,Others,1960-12-15,kevin38@example.org,893-707-0565x39933,1244 Carolyn Way Nicoleshire  MD 87100,Millerburgh,Maine,58362,Gabon,2
37,Jonathan,David,Others,1993-08-28,lori76@example.com,(965)965-4421x4777,00396 Cross Streets West Brent  AL 28191,Michaelland,Florida,88649,Bulgaria,5
38,Tracy,Durham,Not Specified,1979-09-24,ywoods@example.org,(603)557-4983x149,948 Moore Spring Rodriguezside  NE 05897,Lucasfurt,Michigan,36613,Kenya,4
39,Carol,Dixon,Not Specified,1960-04-22,margaretwells@example.net,777.963.7051x399,427 Christine Drive Lake Christopherport  TN 66678,West Michael,Minnesota,41942,Indonesia,2
40,Jacob,Payne,Others,1980-09-05,anne79@example.org,001-460-716-8662x381,980 Chelsea Roads Apt. 299 Yatesview  CO 99526,Montesmouth,South Dakota,66856,Seychelles,2
41,Karla,Stevens,Not Specified,1995-01-07,xsmith@example.net,+1-282-826-5791x424,8925 Bowen Circles Apt. 524 Madisonstad  OK 94632,Cherylport,South Carolina,61167,Bahrain,2
42,Nicholas,Smith,F,1978-01-26,john17@example.com,+1-631-297-6809x218,66646 West Summit West Shaun  DC 25059,Port Julie,Delaware,58752,Holy See (Vatican City State),3
43,Travis,Jones,Not Specified,1991-05-30,johngonzalez@example.org,630-875-1460x2693,7039 Tapia Rest Apt. 449 East Eric  WV 06526,Emilyfurt,Pennsylvania,69289,United States Minor Outlying Islands,5
44,Heather,Gibson,Not Specified,2007-01-04,francodavid@example.net,(384)537-1287,61322 Daniel Bridge Suite 129 New John  GU 99609,Heidichester,Maine,27896,Nepal,4
45,Rose,Williamson,Others,1991-04-17,brenda13@example.com,001-843-555-3258x8855,4584 Hernandez Street Apt. 427 Brandistad  KS 43855,Batesmouth,Iowa,49001,Bolivia,4
46,Holly,Moses,F,1993-08-13,osexton@example.org,001-613-805-8527x9923,4144 Richard Ridges Suite 269 East Luiston  MI 89227,New Kevinhaven,Virginia,63824,Mauritania,3
47,Troy,Keller,Others,1971-05-18,pricedenise@example.net,421-323-0258x39893,1328 Hopkins Key Suite 034 North Davidview  OK 53042,Lake Rebeccastad,Alabama,11986,Guadeloupe,4
48,Benjamin,Reese,Not Specified,1973-10-06,xedwards@example.net,6018888840,72778 Murphy Views North Anthonymouth  MT 61847,North Jessicastad,South Carolina,07726,Kiribati,2
49,Karen,Davis,F,1990-10-13,yfrey@example.net,610-980-3966x29792,9699 Wilson Forge Perryborough  IA 94068,North Curtisport,Tennessee,64104,Rwanda,3
50,Shaun,Griffith,F,1990-12-11,fordchristopher@example.net,001-910-473-3415x3247,648 Henry Rest East Gerald  IN 52947,Lake Doris,Nebraska,56157,South Africa,1
51,Eric,Martin,Not Specified,1997-04-04,twilson@example.com,(889)984-3267x480,49691 Ortiz Mills East Zachary  MN 32119,Port Melissa,North Dakota,63391,Romania,1
52,Michael,Santos,Others,1993-02-14,vrichardson@example.com,(847)321-0664,3201 David Way Apt. 829 Karastad  GU 81410,Leonland,North Dakota,76419,Somalia,3
53,Denise,Garrison,Others,1961-05-26,perryfisher@example.net,001-883-596-5560x07606,253 Jessica Valley New David  OH 70901,Johnsonburgh,Vermont,46266,Myanmar,3
54,Jennifer,Wilson,F,1996-02-16,henryhart@example.com,(972)715-8967x0781,2913 Murphy Landing Apt. 490 Cheyennestad  IN 92494,Port Sean,Kansas,08265,France,3
55,Katherine,Buck,Not Specified,1960-06-28,mmitchell@example.com,789.392.7252x499,22096 Joseph Views Apt. 971 North Dawn  NV 16419,Tammyton,West Virginia,08678,Sweden,5
56,Regina,Hawkins,Others,1983-05-03,srusso@example.com,+1-585-961-7749,104 Gutierrez Courts Suite 071 North Elizabeth  DE 62759,Stephanieshire,New Hampshire,13438,Bouvet Island (Bouvetoya),1
